Date,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
2023-09-25,64600,71300,64600,68500,66600,4019067,267666905850,2650,آباد,توریستی ورفاهی آبادگران ایران,بورس,64600,71300,64600,68500,66600
2023-09-26,69390,69400,66000,66810,67840,1149596,77984762660,1275,آباد,توریستی ورفاهی آبادگران ایران,بورس,69390,69400,66000,66810,67840
2023-09-27,66700,69200,64450,64570,65150,1163823,75818163350,1453,آباد,توریستی ورفاهی آبادگران ایران,بورس,66700,69200,64450,64570,65150
2023-09-30,64020,64990,61900,61900,62360,581181,36242603280,750,آباد,توریستی ورفاهی آبادگران ایران,بورس,64020,64990,61900,61900,62360
2023-10-01,59250,61500,59250,59970,59890,2890752,173139473230,1510,آباد,توریستی ورفاهی آبادگران ایران,بورس,59250,61500,59250,59970,59890
2023-10-02,61000,62880,60010,62880,62370,990183,61756837610,778,آباد,توریستی ورفاهی آبادگران ایران,بورس,61000,62880,60010,62880,62370
2023-10-04,65460,65480,64010,65480,65370,2639907,172570801120,1222,آباد,توریستی ورفاهی آبادگران ایران,بورس,65460,65480,64010,65480,65370
2023-10-07,68630,68630,68630,68630,68630,351895,24150553850,194,آباد,توریستی ورفاهی آبادگران ایران,بورس,68630,68630,68630,68630,68630
2023-10-08,72060,72060,65900,72060,70610,6205238,438172288580,3663,آباد,توریستی ورفاهی آبادگران ایران,بورس,72060,72060,65900,72060,70610
2023-10-09,73500,74140,71950,74140,74060,1903005,140934807920,857,آباد,توریستی ورفاهی آبادگران ایران,بورس,73500,74140,71950,74140,74060
2023-10-10,76900,77760,75010,77760,77360,2029138,156965037910,932,آباد,توریستی ورفاهی آبادگران ایران,بورس,76900,77760,75010,77760,77360
2023-10-11,81220,81220,81220,81220,81220,468619,38061235180,220,آباد,توریستی ورفاهی آبادگران ایران,بورس,81220,81220,81220,81220,81220
2023-10-14,85280,85280,78880,80000,83820,7329146,614354260380,5223,آباد,توریستی ورفاهی آبادگران ایران,بورس,85280,85280,78880,80000,83820
2023-10-15,80000,81700,79630,79630,80020,1553666,124325872580,726,آباد,توریستی ورفاهی آبادگران ایران,بورس,80000,81700,79630,79630,80020
2023-10-16,76020,76020,76020,76020,76020,394363,29979475260,281,آباد,توریستی ورفاهی آبادگران ایران,بورس,76020,76020,76020,76020,76020
2023-10-17,72220,76900,72220,75000,73410,7694491,564825339310,4213,آباد,توریستی ورفاهی آبادگران ایران,بورس,72220,76900,72220,75000,73410
2023-10-18,74000,75000,69740,71430,71420,2839030,202760514460,2105,آباد,توریستی ورفاهی آبادگران ایران,بورس,74000,75000,69740,71430,71420
2023-10-21,71240,73570,69110,70490,70880,1589691,112684098860,1382,آباد,توریستی ورفاهی آبادگران ایران,بورس,71240,73570,69110,70490,70880
2023-10-22,70880,70880,67340,68760,68030,2680527,182355410680,2308,آباد,توریستی ورفاهی آبادگران ایران,بورس,70880,70880,67340,68760,68030
2023-10-23,69300,71430,67350,71430,70680,1225527,86619884050,881,آباد,توریستی ورفاهی آبادگران ایران,بورس,69300,71430,67350,71430,70680
2023-09-25,11270,11580,11160,11290,11330,882007,9953595010,684,آبادا,تولید نیروی برق آبادان,بورس,11270,11580,11160,11290,11330
2023-09-26,11040,11290,11000,11150,11160,1008816,11209953070,784,آبادا,تولید نیروی برق آبادان,بورس,11040,11290,11000,11150,11160
2023-09-27,11000,11300,11000,11140,11140,640057,7123113700,636,آبادا,تولید نیروی برق آبادان,بورس,11000,11300,11000,11140,11140
2023-09-30,11160,11430,11100,11150,11170,1017492,11376951520,1120,آبادا,تولید نیروی برق آبادان,بورس,11160,11430,11100,11150,11170
2023-10-01,11000,11390,10850,11010,11120,719102,7958971590,754,آبادا,تولید نیروی برق آبادان,بورس,11000,11390,10850,11010,11120
2023-10-02,11340,11340,10840,11200,11150,1358821,15144882640,774,آبادا,تولید نیروی برق آبادان,بورس,11340,11340,10840,11200,11150
2023-10-04,11430,11430,11120,11120,11270,1208301,13639915250,841,آبادا,تولید نیروی برق آبادان,بورس,11430,11430,11120,11120,11270
2023-10-07,11500,11830,11300,11830,11770,6365473,74891108180,1760,آبادا,تولید نیروی برق آبادان,بورس,11500,11830,11300,11830,11770
2023-10-08,11950,11950,11190,11360,11260,4052762,45616214210,910,آبادا,تولید نیروی برق آبادان,بورس,11950,11950,11190,11360,11260
2023-10-09,11340,11560,11000,11230,11300,951202,10764096730,656,آبادا,تولید نیروی برق آبادان,بورس,11340,11560,11000,11230,11300
2023-10-10,11500,11500,11030,11190,11170,1476594,16488816540,671,آبادا,تولید نیروی برق آبادان,بورس,11500,11500,11030,11190,11170
2023-10-11,11100,11460,11100,11280,11270,1077741,12171993390,619,آبادا,تولید نیروی برق آبادان,بورس,11100,11460,11100,11280,11270
